,transform
0,0.03200000151991844
1,0.033887945115566254
2,0.04100000113248825
3,0.029999999329447746
4,0.02500000037252903
5,0.07400000095367432
6,0.020999999716877937
7,0.035999998450279236
8,0.027000000700354576
9,0.03400000184774399
10,0.0560000017285347
11,0.03500000014901161
12,0.026000000536441803
13,0.020999999716877937
14,0.025421449914574623
15,0.02475748397409916
16,0.03099999949336052
17,0.020999999716877937
18,0.02500000037252903
19,0.0430000014603138
20,0.02589493617415428
21,0.03200000151991844
22,0.02800000086426735
23,0.035999998450279236
24,0.03999999910593033
25,0.027000000700354576
26,0.03400000184774399
27,0.04600000008940697
28,0.03500000014901161
29,0.07000000029802322
30,0.03700000047683716
31,0.027000000700354576
32,0.0
33,0.1080000028014183
34,0.0
35,0.0
36,0.07000000029802322
37,0.03700000047683716
38,0.07000000029802322
39,0.024000000208616257
40,0.035999998450279236
41,0.06167551502585411
42,0.03200000151991844
43,0.05900000035762787
44,0.01899999938905239
45,0.04100000113248825
46,0.029999999329447746
47,0.035999998450279236
48,0.06599999964237213
49,0.032999999821186066
50,0.04699999839067459
51,0.012000000104308128
52,0.07000000029802322
53,0.03799999877810478
54,0.07800000160932541
55,0.03500000014901161
56,0.07500000298023224
57,0.04699999839067459
58,0.1080000028014183
59,0.039000000804662704
60,0.06700000166893005
61,0.05299999937415123
62,0.05700000002980232
63,0.04699999839067459
64,0.03099999949336052
65,0.03500000014901161
66,0.03400000184774399
67,0.03999999910593033
68,0.013000000268220901
69,0.07599999755620956
70,0.04899999871850014
71,0.03799999877810478
72,0.037168074399232864
73,0.04699999839067459
74,0.0
75,0.10499999672174454
76,0.0
77,0.0
78,0.11400000005960464
79,0.06152006983757019
80,0.050999999046325684
81,0.0
82,0.10899999737739563
83,0.0
84,0.05299999937415123
85,0.08299999684095383
86,0.0010000000474974513
87,0.04500000178813934
88,0.08799999952316284
89,0.04399999976158142
90,0.05900000035762787
91,0.03500000014901161
92,0.03200000151991844
93,0.0430000014603138
94,0.028999999165534973
95,0.03999999910593033
96,0.04860157147049904
97,0.040120258927345276
98,0.0860000029206276
99,0.04600000008940697
100,0.1120000034570694
101,0.06499999761581421
102,0.030701085925102234
103,0.035999998450279236
104,0.04699999839067459
105,0.009999999776482582
106,0.03500000014901161
107,0.05299999937415123
108,0.03799999877810478
109,0.06700000166893005
110,0.0729999989271164
111,0.035999998450279236
112,0.041999999433755875
113,0.04899999871850014
114,0.035999998450279236
115,0.03999999910593033
116,0.05700000002980232
117,0.028999999165534973
118,0.017999999225139618
119,0.03400000184774399
120,0.02800000086426735
121,0.061000000685453415
122,0.05299999937415123
123,0.03400000184774399
124,0.05400000140070915
125,0.21299999952316284
126,0.04899999871850014
127,0.054999999701976776
128,0.028999999165534973
129,0.05400000140070915
130,0.07500000298023224
131,0.020999999716877937
132,0.052000001072883606
133,0.03500000014901161
134,0.050999999046325684
135,0.041999999433755875
136,0.02500000037252903
137,0.052000001072883606
138,0.04699999839067459
139,0.057999998331069946
140,0.052000001072883606
141,0.04800000041723251
142,0.028999999165534973
143,0.06300000101327896
144,0.08699999749660492
145,0.008999999612569809
146,0.08699999749660492
147,0.061000000685453415
148,0.03999999910593033
149,0.058252617716789246
150,0.19300000369548798
151,0.027000000700354576
152,0.0949999988079071
153,0.003000000026077032
154,0.03200000151991844
155,0.054999999701976776
156,0.050999999046325684
157,0.10499999672174454
158,0.061000000685453415
159,0.07199999690055847
160,0.054999999701976776
161,0.0
162,0.1850000023841858
163,0.061000000685453415
164,0.10100000351667404
165,0.06700000166893005
166,0.050999999046325684
167,0.04800000041723251
168,0.006725532002747059
169,0.00524594821035862
170,0.11500000208616257
171,0.0
172,0.03799999877810478
173,0.09200000017881393
174,0.041999999433755875
175,0.08100000023841858
176,0.04100000113248825
177,0.06300000101327896
178,0.06700000166893005
179,0.07100000232458115
180,0.054999999701976776
181,0.05000000074505806
182,0.007000000216066837
183,0.014999999664723873
184,0.0860000029206276
185,0.08100000023841858
186,0.05299999937415123
187,0.0
188,0.014999999664723873
189,0.039000000804662704
190,0.06800000369548798
191,0.06700000166893005
192,0.04500000178813934
